Shortage,pworst chi2,pworst mchi2,pworst burg,pworst kl,Supply,Population,Infrastructure,Model
266720,,0.034948,0.075408,0.038762,Low,High,IPR,miroc.esm.chem.1.rcp85
171790,,0,0.0024082,0.0007125,High,Low,IPR,miroc.esm.chem.1.rcp85
161180,,0,0.0026168,0.00099004,Low,Low,IPR,miroc.esm.chem.1.rcp85
264530,,0.020139,0.011171,0.018162,High,High,IPR,miroc.esm.chem.1.rcp60
279680,,0.031386,0.031642,0.032301,Low,High,IPR,miroc.esm.chem.1.rcp60
139190,,0,0.0023616,0.00065673,High,Low,IPR,miroc.esm.chem.1.rcp60
145360,,0,0.002556,0.0009046,Low,Low,IPR,miroc.esm.chem.1.rcp60
262590,,0.016539,0.0092546,0.015105,High,High,IPR,miroc.esm.chem.1.rcp45
257890,,0.027991,0.020372,0.027147,Low,High,IPR,miroc.esm.chem.1.rcp45
145500,,0,0.0022846,0.00056988,High,Low,IPR,miroc.esm.chem.1.rcp45
147970,,0,0.0024696,0.00078944,Low,Low,IPR,miroc.esm.chem.1.rcp45
246230,,0.013039,0.0079319,0.012628,High,High,IPR,miroc.esm.chem.1.rcp26
239980,,0.024503,0.014916,0.022709,Low,High,IPR,miroc.esm.chem.1.rcp26
150340,,0,0.0022207,0.00050273,High,Low,IPR,miroc.esm.chem.1.rcp26
149910,,0,0.0023908,0.0006914,Low,Low,IPR,miroc.esm.chem.1.rcp26
277560,,0.016096,0.0090633,0.014766,High,High,IPR,miroc5.1.rcp85
280800,,0.027855,0.020087,0.02696,Low,High,IPR,miroc5.1.rcp85
148790,,0,0.0022776,0.00056222,High,Low,IPR,miroc5.1.rcp85
140730,,0,0.0024625,0.00078031,Low,Low,IPR,miroc5.1.rcp85
259090,,0.0071332,0.0063904,0.0093327,High,High,IPR,miroc5.1.rcp60
261930,,0.018692,0.010313,0.016866,Low,High,IPR,miroc5.1.rcp60
139190,,0,0.0021415,0.00042604,High,Low,IPR,miroc5.1.rcp60
147190,,0,0.0022951,0.00058128,Low,Low,IPR,miroc5.1.rcp60
248650,,0.013598,0.0081172,0.012994,High,High,IPR,miroc5.1.rcp45
255600,,0.025133,0.015674,0.023453,Low,High,IPR,miroc5.1.rcp45
157670,,0,0.0022382,0.00052072,High,Low,IPR,miroc5.1.rcp45
156870,,0,0.0024146,0.0007203,Low,Low,IPR,miroc5.1.rcp45
248500,,0.0083614,0.0066595,0.0099383,High,High,IPR,miroc5.1.rcp26
214800,,0.019669,0.010877,0.017731,Low,High,IPR,miroc5.1.rcp26
143870,,0,0.0021619,0.0004451,High,Low,IPR,miroc5.1.rcp26
143810,,0,0.002322,0.00061116,Low,Low,IPR,miroc5.1.rcp26
272230,,0.016116,0.0089547,0.014679,High,High,RO,gfdl.cm3.1.rcp85
287870,,0.02771,0.019217,0.02689,Low,High,RO,gfdl.cm3.1.rcp85
166440,,0,0.0022941,0.00054646,High,Low,RO,gfdl.cm3.1.rcp85
182510,,0,0.0024798,0.00076106,Low,Low,RO,gfdl.cm3.1.rcp85
277830,,0.014286,0.0082584,0.013342,High,High,RO,gfdl.cm3.1.rcp60
269730,,0.025443,0.015698,0.023887,Low,High,RO,gfdl.cm3.1.rcp60
175290,,0,0.0022729,0.0005243,High,Low,RO,gfdl.cm3.1.rcp60
177180,,0,0.0024498,0.00072391,Low,Low,RO,gfdl.cm3.1.rcp60
285260,,0.025021,0.015182,0.023368,High,High,RO,gfdl.cm3.1.rcp45
304820,,0.036916,0.21331,0.043481,Low,High,RO,gfdl.cm3.1.rcp45
167860,,0,0.0025126,0.00080287,High,Low,RO,gfdl.cm3.1.rcp45
174650,,0,0.0027314,0.0011096,Low,Low,RO,gfdl.cm3.1.rcp45
256980,,0.021388,0.011827,0.019331,High,High,RO,gfdl.cm3.1.rcp26
287170,,0.031924,0.032933,0.033506,Low,High,RO,gfdl.cm3.1.rcp26
162150,,0,0.0024208,0.00068879,High,Low,RO,gfdl.cm3.1.rcp26
179100,,0,0.0026217,0.00094972,Low,Low,RO,gfdl.cm3.1.rcp26
261440,,0.016544,0.0091346,0.015011,High,High,RO,gfdl.esm2m.1.rcp85
279150,,0.027971,0.019725,0.027258,Low,High,RO,gfdl.esm2m.1.rcp85
162340,,0,0.0023564,0.00061425,High,Low,RO,gfdl.esm2m.1.rcp85
151300,,0,0.0025452,0.00084552,Low,Low,RO,gfdl.esm2m.1.rcp85
266040,,0.015149,0.0085726,0.013956,High,High,RO,gfdl.esm2m.1.rcp26
265020,,0.026394,0.017005,0.025104,Low,High,RO,gfdl.esm2m.1.rcp26
177470,,0,0.0023348,0.00059023,High,Low,RO,gfdl.esm2m.1.rcp26
178140,,0,0.0025271,0.00082159,Low,Low,RO,gfdl.esm2m.1.rcp26
252100,,0.014514,0.0083394,0.013502,High,High,RO,gfdl.esm2m.1.rcp45
256160,,0.025766,0.016119,0.024294,Low,High,RO,gfdl.esm2m.1.rcp45
171720,,0,0.0023182,0.00057218,High,Low,RO,gfdl.esm2m.1.rcp45
165830,,0,0.0025057,0.00079391,Low,Low,RO,gfdl.esm2m.1.rcp45
